network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BL-WSR;min;13.87;20;3897;3566;330;1296;2361;240;3038;1821;0;1217;0.400592495062541;1199;96;0.84137475214805;0.15862524785195;0.831069108092144;0.168930891907856;1;1.55914806261227;0.779574031306133;0.779574031306133;0.733034212002243;0;1.28484848484848;9.20606060606061;0;0;0;1;0;0;0;1;1208;0.235451414279238;0.000256607646907878;0.915062868873492;0.0846805234795997;0.33256351039261;0.6058506543495;0.0615858352578907;0.599407504937459;0;0.400592495062541
BL-SR;min;13.87;20;4593;4221;371;1318;2951;324;3276;1947;0;1329;0.405677655677656;1221;96;0.834699453551913;0.165300546448087;0.830875122910521;0.169124877089479;1;1.42651861528413;0.713259307642064;0.713259307642064;0.710968964700308;0;0.741239892183288;8.83018867924528;0;0;0;1;0;0;0;1;1317;0.23922209732993;0.000217722621380361;0.919007184846506;0.0807750925321141;0.286958414979316;0.642499455693447;0.0705421293272371;0.594322344322344;0;0.405677655677656
BL-SR;min;13.87;20;4440;4075;364;1316;2816;308;3226;1914;0;1312;0.406695598264104;1220;95;0.837304288631722;0.162695711368278;0.830875122910521;0.169124877089479;1;1.45315315315315;0.726576576576577;0.726576576576577;0.715828220858896;0;0.848901098901099;8.86263736263736;0;0;0;1;0;0;0;1;1278;0.23922209732993;0.000225225225225225;0.917792792792793;0.081981981981982;0.296396396396396;0.634234234234234;0.0693693693693694;0.593304401735896;0;0.406695598264104
BL-SR;min;13.87;20;3900;3574;325;1298;2363;239;3040;1785;0;1255;0.412828947368421;1203;94;0.844311377245509;0.155688622754491;0.830875122910521;0.169124877089479;1;1.55897435897436;0.779487179487179;0.779487179487179;0.735030777839955;0;1.27076923076923;9.35384615384615;0;0;0;1;0;0;0;1;1217;0.23922209732993;0.000256410256410256;0.916410256410256;0.0833333333333333;0.332820512820513;0.605897435897436;0.0612820512820513;0.587171052631579;0;0.412828947368421
BH-WSR;min;8.69;20;9649;9225;423;2651;6630;368;7014;4022;0;2992;0.426575420587397;2552;99;0.91404011461318;0.0859598853868195;0.904436193081884;0.0955638069181161;1;1.45382941237434;0.72691470618717;0.72691470618717;0.724769647696477;0;0.773049645390071;16.5815602836879;1;0;0.05;0;1;0;3;1;2643;0.17859922334129;0.000103637682661416;0.95605762255156;0.0438387397657788;0.274743496735413;0.687117836045186;0.038138667219401;0.573424579412603;0;0.426575420587397
BH-WSR;min;8.69;20;8489;8096;392;2647;5559;283;6479;3756;0;2723;0.420280907547461;2548;99;0.91454802259887;0.0854519774011299;0.904436193081884;0.0955638069181161;1;1.52644598892685;0.763222994463423;0.763222994463423;0.74320652173913;0;1.17602040816327;16.5280612244898;1;0;0.05;0;1;0;3;1;2560;0.17859922334129;0.000117799505242078;0.953704794439863;0.0461774060548946;0.31181529037578;0.654847449640712;0.0333372599835081;0.579719092452539;0;0.420280907547461
BH-WSR;min;8.69;20;6838;6515;322;2621;4042;175;5571;3362;0;2209;0.396517680847245;2522;99;0.919191919191919;0.0808080808080808;0.904436193081884;0.0955638069181161;1;1.62942380813103;0.814711904065516;0.814711904065516;0.756561780506523;0;1.99068322981366;17.3012422360248;1;0;0.05;0;1;0;3;1;2369;0.17859922334129;0.000146241591108511;0.952763966071951;0.0470897923369406;0.383299210295408;0.591108511260602;0.0255922784439895;0.603482319152755;0;0.396517680847245
BH-SR;min;8.69;20;9622;9201;420;2651;6538;433;6988;3995;0;2993;0.42830566685747;2552;99;0.913385826771654;0.0866141732283465;0.904929922571793;0.0950700774282074;1;1.45250467678237;0.726252338391187;0.726252338391187;0.724160417345941;0;0.771428571428571;16.6380952380952;1;0;0.05;0;1;0;3;1;2643;0.174851670085825;0.000103928497193931;0.956246102681355;0.0436499688214508;0.27551444606111;0.679484514653918;0.0450010392849719;0.57169433314253;0;0.42830566685747
BH-SR;min;8.69;20;8449;8060;388;2646;5473;330;6456;3688;0;2768;0.428748451053284;2548;98;0.915284151076597;0.0847158489234028;0.904929922571793;0.0950700774282074;1;1.52822819268553;0.764114096342763;0.764114096342763;0.742928039702233;0;1.20360824742268;16.639175257732;1;0;0.05;0;1;0;3;1;2560;0.174851670085825;0.000118357202035744;0.953959048408096;0.0459225943898686;0.313173156586578;0.647768966741626;0.0390578766717955;0.571251548946716;0;0.428748451053284
BH-SR;min;8.69;20;6785;6466;318;2612;3974;199;5533;3299;0;2234;0.403759262606181;2515;97;0.920391517128874;0.0796084828711256;0.904929922571793;0.0950700774282074;1;1.63095062638172;0.815475313190862;0.815475313190862;0.755644911846582;0;2.0314465408805;17.3993710691824;1;0;0.05;0;1;0;3;1;2367;0.174851670085825;0.000147383935151069;0.952984524686809;0.0468680913780398;0.384966838614591;0.585703758290346;0.0293294030950626;0.596240737393819;0;0.403759262606181
BL-WSR;min;7.91;20;5121;4720;400;1316;3632;173;3811;2461;0;1350;0.35423773287851;1217;98;0.836538461538462;0.163461538461538;0.829212695072769;0.170787304927231;1;1.48838117555165;0.744190587775825;0.744190587775825;0.743008474576271;0;0.76;9.5275;0;0;0;1;0;0;0;1;1311;0.276098936219783;0.000195274360476469;0.921694981448936;0.0781097441905878;0.256981058387034;0.709236477250537;0.0337824643624292;0.64576226712149;0;0.35423773287851
BL-WSR;min;7.91;20;4628;4263;364;1315;3176;137;3624;2376;0;1248;0.344370860927152;1216;98;0.834126444595513;0.165873555404487;0.829212695072769;0.170787304927231;1;1.56611927398444;0.783059636992221;0.783059636992221;0.757916959887403;0;1.07967032967033;9.95604395604396;0;0;0;1;0;0;0;1;1276;0.276098936219783;0.000216076058772688;0.921132238547969;0.0786516853932584;0.284140017286085;0.686257562662057;0.0296024200518583;0.655629139072848;0;0.344370860927152
BL-WSR;min;7.91;20;3765;3464;300;1309;2368;88;3199;2125;0;1074;0.335729915598625;1211;97;0.844327176781003;0.155672823218997;0.829212695072769;0.170787304927231;1;1.69933598937583;0.849667994687915;0.849667994687915;0.764434180138568;0;1.83666666666667;10.6633333333333;0;0;0;1;0;0;0;1;1217;0.276098936219783;0.000265604249667995;0.920053120849934;0.0796812749003984;0.347675962815405;0.628950863213811;0.0233731739707835;0.664270084401375;0;0.335729915598625
